land_bin1,land_bin2,land_bin3,land_bin4,land_bin5,land_bin6,land_bin7,land_bin8,land_bin9,land_bin10
0.660351613,0.689621923,0.76095833,0.816117194,0.840847484,0.871119505,0.873819514,0.940854006,0.944449042,
0.5518439,0.598357899,0.662329776,0.721164335,0.751516614,0.777680452,0.834497692,0.862322429,0.909548483,0.924610828
0.503412874,0.557300449,0.61818831,0.673867306,0.712665978,0.755354144,0.795413978,0.839976809,0.865441592,0.898182637
0.526677525,0.53409784,0.571897922,0.609680173,0.648431497,0.702994843,0.756307488,0.807856973,0.860102442,0.895072705
0.494769406,0.559767166,0.567518936,0.576967184,0.601006887,0.655822763,0.732971966,0.770083521,0.83900118,0.88745949
,0.522697154,0.527182573,0.552210883,0.582395299,0.610739006,0.696505869,0.745646388,0.828003282,0.887956665
,,0.541590007,0.530415233,0.560528842,0.60266491,0.666645807,0.715988282,0.803779413,0.881430051
,,,,0.599399966,0.607818601,0.655898712,0.673017304,0.748376436,0.827066061
,,,,0.497118859,0.597240918,0.613144661,0.640120704,0.741700192,0.853812826
